ID, Size, Predicted, Actual
0,40,0.0,NO
1,28,0.01,NO
2,28,0.0,NO
3,449,0.01,YES
4,1358,0.2801666666666667,NO
5,25,0.0,NO
6,39,0.04,NO
7,50,0.0,NO
8,82,0.17,NO
9,41,0.02,NO
10,245,0.15483333333333332,NO
11,227,0.07783333333333334,NO
12,363,0.215,NO
13,375,0.6357142857142857,YES
14,145,0.07850000000000001,NO
15,49,0.005,NO
16,85,0.0,NO
17,64,0.0,NO
18,36,0.013333333333333332,NO
19,37,0.0,NO
20,92,0.22,NO
21,32,0.0,NO
22,26,0.0,NO
23,669,0.6,YES
24,398,0.71,YES
25,206,0.09216666666666667,YES
26,24,0.0,NO
27,24,0.0,NO
28,27,0.0,NO
29,30,0.0,NO
30,428,0.02,NO
31,972,0.0,NO
32,123,0.125,NO
33,562,0.0,NO
34,205,0.061801587301587295,NO
35,37,0.0,NO
36,35,0.0,NO
37,276,0.0,NO
38,316,0.017333333333333333,NO
39,204,0.19122619047619047,NO
40,133,0.17633333333333334,NO
41,285,0.0,NO
42,336,0.18,NO
43,464,0.13083333333333333,NO
44,294,0.08583333333333332,NO
45,76,0.016,NO
46,69,0.0,NO
47,266,0.37661904761904763,NO
48,247,0.0425,NO
49,217,0.018666666666666668,NO
50,99,0.0,NO
51,191,0.02,NO
52,476,0.9,NO
53,95,0.0,NO
54,550,0.9,YES
55,136,0.0,NO
56,33,0.0,NO
57,479,0.97,YES
58,140,0.23883333333333334,NO
59,111,0.96,YES
60,34,0.0,NO
61,39,0.0,NO
62,36,0.0,NO
63,202,0.93,YES
64,106,0.026000000000000002,NO
65,57,0.0025,NO
66,43,0.0,NO
67,27,0.03,NO
68,25,0.0,NO
69,53,0.0,NO
70,88,0.0,YES
71,107,0.06916666666666665,NO
72,132,0.09,NO
73,169,0.06,NO
74,80,0.0,NO
75,29,0.01,NO
76,430,0.05833333333333333,NO
77,79,0.0,NO
78,85,0.0,NO
79,110,0.19083333333333335,NO
80,111,0.0825,NO
81,53,0.01,NO
82,52,0.0,NO
83,158,0.15,NO
84,270,0.32666666666666666,YES
85,183,0.015,NO
86,215,0.035,NO
87,76,0.01,NO
88,285,0.027619047619047623,YES
89,258,0.06095238095238095,NO
90,55,0.0,NO
91,102,0.01,NO
92,403,0.79,YES
93,35,0.0,NO
94,145,0.06666666666666665,YES
95,119,0.49333333333333335,NO
96,71,0.0,YES
97,75,0.06166666666666666,YES
98,69,0.09333333333333332,NO
99,80,0.0,YES
100,63,0.0,NO
101,120,0.384,YES
102,98,0.109,NO
103,54,0.0,NO
104,267,0.015,NO
105,55,0.0,NO
106,46,0.0,NO
107,226,0.02,NO
108,54,0.00985714285714286,NO
109,270,0.05083333333333333,NO
110,74,0.0,NO
111,359,0.01583333333333333,NO
112,78,0.01,NO
113,180,0.03944047619047619,NO
114,57,0.0,NO
115,50,0.0,NO
116,243,0.043142857142857156,NO
117,254,0.025,NO
118,306,0.005,NO
119,139,0.08033333333333334,NO
120,375,0.07,NO
121,75,0.015,NO
122,222,0.06333333333333335,NO
123,61,0.12,NO
124,98,0.15,NO
125,28,0.0,NO
126,55,0.0,NO
127,194,0.2371666666666667,NO
128,28,0.0,NO
129,50,0.02,NO
130,55,0.13,NO
131,118,0.1,NO
132,87,0.060833333333333336,NO
133,65,0.18,NO
134,144,0.026000000000000002,NO
135,117,0.0,NO
136,28,0.0,NO
137,57,0.0,NO
138,60,0.01,NO
139,62,0.0,NO
140,89,0.06,NO
141,60,0.0,NO
142,68,0.13,NO
143,522,0.045833333333333344,NO
144,43,0.05,NO
145,247,0.23195238095238097,NO
146,35,0.27,NO
147,42,0.0,NO
148,57,0.01,NO
149,91,0.075,NO
150,61,0.0,NO
151,92,0.05,NO
152,93,0.0,NO
153,80,0.0,NO
154,101,0.01,NO
155,59,0.01,NO
156,84,0.025,NO
157,82,0.0,NO
158,132,0.014166666666666666,NO
159,143,0.05266666666666667,NO
160,78,0.22,NO
161,66,0.19,NO
162,66,0.19,NO
163,85,0.0,YES
164,54,0.004,NO
165,77,0.11832539682539682,NO
166,137,0.013333333333333332,NO
167,130,0.33,NO
168,79,0.0,NO
169,76,0.0,NO
170,81,0.005,NO
171,98,0.17333333333333337,NO
172,115,0.01,NO
173,180,0.0,NO
174,118,0.07833333333333332,NO
175,64,0.0,NO
176,95,0.0,NO
177,88,0.13,NO
178,51,0.0,NO
179,120,0.0,NO
